system:index,B1,B2,B3,B4,B5,B6,B7,Class,.geo
0_172_0,0.16976772,0.15396322,0.14128894,0.14128794,0.18932267,0.15794796,0.13159722,0.0,
0_173_0,0.15969609,0.14720246,0.14365613,0.15890628,0.22889763,0.23353726,0.18732294,0.0,
0_174_0,0.19052614,0.17885935,0.16498569,0.16510189,0.19353329,0.1703305,0.1398091,0.0,
0_175_0,0.19134264,0.18142214,0.1721328,0.17865142,0.19859263,0.18763588,0.14563192,0.0,
0_176_0,0.23585224,0.24006505,0.24535863,0.2613093,0.28091896,0.26995966,0.220015,0.0,
0_177_0,0.24519512,0.24724402,0.24745996,0.26675978,0.29188576,0.28255105,0.21033567,0.0,
0_178_0,0.18398592,0.17275697,0.16621408,0.17199218,0.20692071,0.19462231,0.16662891,0.0,
0_179_0,0.18072629,0.17376398,0.16634662,0.1962187,0.2615173,0.26149648,0.21187626,0.0,
0_180_0,0.18987983,0.18145457,0.17492911,0.18290675,0.18879342,0.19144093,0.17730467,0.0,
0_181_0,0.14669463,0.13132022,0.13307995,0.1387431,0.31566662,0.25357667,0.17405216,0.0,
0_182_0,0.16570662,0.14951679,0.13885793,0.14036442,0.20963798,0.1729941,0.13860266,0.0,
0_183_0,0.19418049,0.18374643,0.17641619,0.18416761,0.20490316,0.19758134,0.15557781,0.0,
0_184_0,0.1704809,0.15602574,0.14191073,0.14335218,0.15972382,0.15600231,0.13113977,0.0,
0_185_0,0.1396599,0.12208128,0.110991836,0.113715306,0.20496231,0.20841594,0.1666487,0.0,
0_186_0,0.17078716,0.15645677,0.14348474,0.1424342,0.21627824,0.1895299,0.16046724,0.0,
0_187_0,0.15810926,0.14145944,0.13082051,0.1312744,0.18455642,0.17350972,0.13990821,0.0,
0_188_0,0.13978314,0.119007766,0.098153375,0.09304645,0.16323222,0.11557008,0.08452776,0.0,
0_189_0,0.15664111,0.14082646,0.13639279,0.13880101,0.20659398,0.17238006,0.1383177,0.0,
0_190_0,0.21095562,0.20139432,0.18493608,0.18733631,0.18874016,0.16376561,0.13595851,0.0,
0_191_0,0.1640577,0.14906144,0.13967733,0.14244416,0.14950226,0.17075625,0.152315,0.0,
0_192_0,0.19469304,0.18275,0.17064783,0.17508613,0.18289438,0.17709301,0.14329636,0.0,
0_193_0,0.129409,0.10739845,0.08903957,0.0746051,0.22929479,0.11790579,0.07134143,0.0,
0_194_0,0.19614187,0.1856513,0.18003976,0.18733741,0.20944785,0.18560934,0.14618449,0.0,
0_195_0,0.15617236,0.14030889,0.12687981,0.12978464,0.18850587,0.1656365,0.13539836,0.0,
0_196_0,0.15365496,0.13523202,0.11807666,0.1129581,0.16508652,0.13293438,0.1057808,0.0,
0_197_0,0.14726155,0.12660946,0.11140108,0.10151941,0.1378287,0.111721784,0.084772885,0.0,
0_198_0,0.18917984,0.1803598,0.17424244,0.18056908,0.20227838,0.20644222,0.17999762,0.0,
0_199_0,0.1886873,0.1797322,0.18594356,0.18803398,0.26082128,0.24510208,0.20603335,0.0,
1_0_0,0.16542682,0.14835368,0.12727867,0.12637149,0.13828039,0.13909434,0.11900363,1.0,
1_1_0,0.15785453,0.14104041,0.13139409,0.13488664,0.20901605,0.1664928,0.12999293,1.0,
1_2_0,0.14544512,0.12569895,0.11006934,0.10293991,0.1954798,0.14006498,0.106504194,1.0,
1_3_0,0.17433731,0.16192152,0.14964268,0.15453796,0.1918791,0.1717755,0.1464005,1.0,
1_4_0,0.14456113,0.12577544,0.11038132,0.11011339,0.19307531,0.16947751,0.12984785,1.0,
1_5_0,0.15232919,0.13518563,0.12144409,0.12427519,0.17049366,0.16167869,0.1361354,1.0,
1_6_0,0.17266776,0.15936333,0.15037708,0.1580458,0.19347253,0.18739931,0.15950349,1.0,
1_7_0,0.15586317,0.13896158,0.1269463,0.13005975,0.21381967,0.1765566,0.14000499,1.0,
1_8_0,0.15717684,0.13880879,0.1229802,0.11750951,0.18820263,0.14852107,0.11424444,1.0,
1_9_0,0.15887521,0.14312354,0.12809306,0.12950328,0.17494756,0.15336256,0.12772943,1.0,
1_10_0,0.15666911,0.13963918,0.123172015,0.12305412,0.17745651,0.14652812,0.12289199,1.0,
1_11_0,0.15348086,0.1350474,0.11933742,0.116599664,0.17981617,0.15518962,0.124764614,1.0,
1_12_0,0.17277364,0.15845406,0.14394864,0.14667323,0.16784117,0.17101692,0.15112647,1.0,
1_13_0,0.18732525,0.17530802,0.16294828,0.16581127,0.18134494,0.17624663,0.15602161,1.0,
1_14_0,0.16437037,0.14948687,0.140331,0.1455029,0.20109154,0.1822228,0.14823283,1.0,
1_15_0,0.15618041,0.13833666,0.12267738,0.12366233,0.16590178,0.15028656,0.12179794,1.0,
1_16_0,0.20518962,0.19577447,0.19803491,0.22825585,0.27714753,0.33553278,0.28262886,1.0,
1_17_0,0.18297976,0.17529193,0.1763368,0.20186046,0.26286817,0.23742516,0.21559015,1.0,
1_18_0,0.15335563,0.13476372,0.11820018,0.11326005,0.18349464,0.14996606,0.11645266,1.0,
1_19_0,0.15497905,0.13825586,0.12258589,0.12090831,0.17167595,0.15291664,0.12384981,1.0,
1_20_0,0.15211688,0.13270101,0.11254346,0.106505744,0.14640963,0.121323936,0.09602758,1.0,
1_21_0,0.15444583,0.1361603,0.123225436,0.12136651,0.18412352,0.15297668,0.12185754,1.0,
1_22_0,0.15270717,0.1352278,0.12287412,0.12311298,0.2035283,0.16229656,0.12514332,1.0,
1_23_0,0.15887234,0.14200228,0.12607579,0.12259959,0.1770488,0.1587963,0.1236848,1.0,
1_24_0,0.15805808,0.14117444,0.12510633,0.12162209,0.19149353,0.16626945,0.12561852,1.0,
1_25_0,0.15026532,0.13057762,0.11361638,0.108299896,0.17621261,0.13334012,0.09675237,1.0,
1_26_0,0.17948921,0.16612789,0.15331286,0.15743491,0.18505779,0.18041377,0.15458475,1.0,
1_27_0,0.2544254,0.2559293,0.265231,0.28538573,0.3042184,0.250072,0.16994426,1.0,
1_28_0,0.15459843,0.13689975,0.124303274,0.120997496,0.1833373,0.16472101,0.12900491,1.0,
1_29_0,0.1563735,0.13945512,0.12662238,0.12744302,0.18972823,0.17278676,0.14277889,1.0,
1_30_0,0.15327956,0.13457286,0.11720349,0.11744475,0.14158313,0.13210754,0.11407707,1.0,
1_31_0,0.16149095,0.1452654,0.13243783,0.13279955,0.18716452,0.16981272,0.14147776,1.0,
1_32_0,0.23478274,0.23594251,0.24147408,0.26590884,0.3020828,0.25184506,0.21661593,1.0,
1_33_0,0.1556309,0.13666259,0.11794556,0.11584678,0.15670672,0.13411692,0.109631516,1.0,
1_34_0,0.15729141,0.14077498,0.12664257,0.12779403,0.17837232,0.15897775,0.13446976,1.0,
1_35_0,0.17008755,0.15482138,0.13754226,0.1384032,0.14423798,0.14516582,0.13075909,1.0,
1_36_0,0.17789629,0.16360755,0.14798866,0.1500209,0.17965418,0.16482522,0.14002652,1.0,
1_37_0,0.17257525,0.15805112,0.1457456,0.14652978,0.1955753,0.1728293,0.14425822,1.0,
1_38_0,0.16774493,0.15455888,0.13948983,0.14282611,0.1804624,0.16550714,0.13126576,1.0,
1_39_0,0.16477923,0.14819041,0.13349584,0.1351126,0.16279131,0.15556516,0.1322662,1.0,
1_40_0,0.15968046,0.1432399,0.12776467,0.12836027,0.17883512,0.155956,0.12716804,1.0,
1_41_0,0.21375643,0.20544182,0.20129627,0.21348433,0.25217506,0.22294742,0.16487159,1.0,
1_42_0,0.15683302,0.13896105,0.12108551,0.11962674,0.14658454,0.13768944,0.11844431,1.0,
1_43_0,0.14344972,0.12254104,0.10560342,0.098595604,0.20968941,0.14145085,0.10023743,1.0,
1_44_0,0.15102974,0.13245653,0.11524485,0.11247307,0.16831277,0.14368954,0.11732536,1.0,
1_45_0,0.24771084,0.24421687,0.23455027,0.24405064,0.25737813,0.29477662,0.2655694,1.0,
1_46_0,0.1622179,0.14581299,0.13473043,0.13540487,0.20294847,0.16945477,0.13966429,1.0,
1_47_0,0.16394688,0.14759594,0.13529637,0.14093867,0.17204165,0.1668325,0.14235109,1.0,
1_48_0,0.1468691,0.12713985,0.11211476,0.10986498,0.20271087,0.14742866,0.110742904,1.0,
1_49_0,0.16432112,0.14778832,0.13008392,0.13066268,0.143917,0.13909978,0.12323918,1.0,
1_50_0,0.17802948,0.16537836,0.15763101,0.1602451,0.23224351,0.20092313,0.1555305,1.0,
1_51_0,0.25419813,0.25042114,0.24567421,0.2637759,0.29023078,0.25356892,0.17211773,1.0,
1_52_0,0.15602776,0.1383839,0.12481029,0.12352456,0.20147781,0.15586133,0.1204723,1.0,
1_53_0,0.15436767,0.13645025,0.12148627,0.1201927,0.20436434,0.15883914,0.12454393,1.0,
1_54_0,0.16272599,0.14100856,0.113115594,0.104727864,0.106736936,0.14558421,0.10563442,1.0,
1_55_0,0.15101857,0.13246478,0.11904869,0.119795725,0.1780389,0.1551773,0.1248247,1.0,
1_56_0,0.1579534,0.14126733,0.1270017,0.12879121,0.18167353,0.18891025,0.15830705,1.0,
1_57_0,0.15855531,0.14133465,0.12566961,0.12247906,0.17806648,0.1543202,0.123626545,1.0,
1_58_0,0.1582833,0.14133264,0.12372351,0.1230735,0.15095246,0.1383018,0.11877647,1.0,
1_59_0,0.15299205,0.13486677,0.12102005,0.11582115,0.21489173,0.16250862,0.119688295,1.0,
1_60_0,0.17363648,0.16047168,0.14914398,0.1527869,0.1978361,0.17427495,0.14080243,1.0,
